,company,impressions_for_wordcloud,indicator1,indicator2,indicator3,indicator4,indicator5,indicator6,Overall Stars,Culture & Values,Work/Life Balance,Senior Management,Compensation & Benefits,Career Opportunities,URL,culture_score,ceo_score
83,First American Financial Corporation,"{'team': 13, 'manager': 4, 'listen': 3, 'happy': 5, 'enjoy': 3, 'nice': 3, 'family': 7, 'positive': 2, 'others': 2, 'never': 2, 'every': 2, 'fairly': 2, 'micro': 2, 'remotely': 2, 'match': 2, 'managing': 2, 'managers': 2, 'little': 2, 'group': 2, 'half': 2, 'know': 4, 'production': 2, 'inclusive': 2, 'bonus': 2, 'workers': 2, 'together': 4, 'atmosphere': 2, 'suggestions': 2, 'training': 2, 'adults': 2, 'well': 2, 'care': 5, 'time': 6, 'working': 5, 'great': 1, 'feedback': 1, 'ideas': 1, 'feel': 7, 'idea': 1, 'first': 1, 'friendly': 1, 'home': 4, 'hold': 1, 'allow': 1, 'account': 1, 'actual': 1, 'gets': 1, 'goals': 1, 'amazing': 3, 'hand': 1, 'going': 1, 'people': 10, 'love': 4, 'job': 4, 'truly': 4, 'culture': 4, 'everyone': 3, 'benefits': 3, 'help': 3, 'office': 3, 'best': 3, 'fa': 3, 'new': 2, 'good': 2, 'support': 2, 'opportunity': 2, 'opportunities': 2, 'appreciation': 2, 'title': 2, 'industry': 2, 'think': 2, 'able': 2, 'business': 2, 'coworkers': 2, 'community': 2, 'unique': 2, 'cares': 2, 'fun': 2, 'life': 2, 'better': 2, 'leadership': 2, 'long': 2, 'recognition': 2, 'believe': 2, 'events': 2, 'she': 2, 'ability': 2, 'customers': 2, 'hard': 2, 'personal': 2}",90% Employees say this is a great place to work,"94% When you join the company, you are made to feel welcome.",92% Management is honest and ethical in its business practices.,92% I'm proud to tell others I work here.,91% People here are given a lot of responsibility.,90% Management is competent at running the business.,3.5,3.6,3.6,3.2,3.2,3.2,https://www.glassdoor.com/Reviews/First-American-Reviews-E2526.htm,B-,81
84,Total Quality Logistics,"{'everyone': 10, 'going': 2, 'love': 4, 'atmosphere': 8, 'employees': 2, 'management': 2, 'fair': 2, 'people': 10, 'friendly': 3, 'exciting': 1, 'exhilarating': 1, 'family': 3, 'fast': 1, 'favoritism': 1, 'flexibility': 1, 'working': 4, 'fully': 1, 'good': 4, 'greed': 1, 'guess': 1, 'hand': 1, 'high': 1, 'higher': 1, 'interview': 1, 'involved': 1, 'everything': 1, 'enjoy': 1, 'issue': 1, 'care': 3, 'advantage': 1, 'always': 1, 'attention': 1, 'based': 1, 'beginning': 1, 'better': 1, 'bonuses': 1, 'business': 3, 'candidates': 1, 'career': 1, 'engagement': 1, 'caring': 1, 'choose': 1, 'commission': 3, 'community': 4, 'coworkers': 1, 'department': 1, 'departments': 1, 'done': 1, 'employee': 1, 'involvement': 1, 'lies': 1, 'hard': 10, 'fun': 7, 'culture': 7, 'tql': 7, 'office': 6, 'team': 6, 'job': 5, 'help': 4, 'beer': 4, 'feel': 4, 'opportunity': 4, 'drops': 4, 'play': 3, 'success': 3, 'time': 3, 'best': 3, 'own': 3, 'events': 3, 'unique': 3, 'succeed': 3, 'willing': 3, 'give': 2, 'new': 2, 'ability': 2, 'life': 2, 'opportunities': 2, 'sales': 2, 'amazing': 2, 'celebrate': 2, 'potential': 2, 'cares': 2, 'truly': 2, 'uncapped': 2, 'activities': 2, 'energy': 2, 'open': 2, 'goals': 2, 'laid': 2}",93% Employees say this is a great place to work,97% People celebrate special events around here.,"97% When you join the company, you are made to feel welcome.",96% Management is competent at running the business.,96% I am given the resources and equipment to do my job.,"96% Our customers would rate the service we deliver as ""excellent.""",3.7,3.9,2.8,3.7,3.6,3.7,https://www.glassdoor.com/Reviews/Total-Quality-Logistics-Reviews-E134523.htm,B,78
85,"Sheetz, Inc.","{'people': 23, 'good': 17, 'customers': 15, 'working': 14, 'team': 14, 'together': 9, 'workers': 9, 'friendly': 11, 'employees': 9, 'great': 9, 'family': 17, 'every': 8, 'nice': 10, 'manager': 7, 'never': 7, 'everyone': 11, 'make': 7, 'store': 10, 'benefits': 14, 'always': 7, 'well': 7, 'know': 8, 'love': 9, 'time': 9, 'insurance': 5, 'sheetz': 15, 'getting': 5, 'help': 7, 'best': 7, 'many': 5, 'need': 7, 'coworkers': 7, 'paid': 5, 'everything': 5, 'really': 5, 'making': 4, 'management': 4, 'environment': 4, 'years': 4, 'customer': 6, 'things': 4, 'fast': 4, 'name': 3, 'positive': 3, 'able': 3, 'experience': 3, 'paced': 3, 'nothing': 3, 'along': 3, 'fair': 3, 'helpful': 3, 'feel': 5, 'job': 4, 'care': 4, 'fun': 3, 'pay': 3, 'bonuses': 2, 'cares': 2, 'think': 2, 'bonus': 2, 'different': 2, 'better': 2, 'new': 2, 'unique': 2, 'stores': 2, 'amazing': 2, 'level': 2, 'opportunities': 2, 'opportunity': 2, 'food': 2, 'community': 2, 'personal': 2, 'treat': 2, 'truly': 2, 'hard': 2, 'life': 2, 'schedule': 2, 'fact': 2, 'works': 2, 'atmosphere': 2, 'first': 2}",88% Employees say this is a great place to work,"93% When you join the company, you are made to feel welcome.",92% I feel good about the ways we contribute to the community.,91% I am given the resources and equipment to do my job.,90% Management is honest and ethical in its business practices.,90% Our facilities contribute to a good working environment.,3.6,3.7,2.9,3.1,3.8,3.6,"https://www.glassdoor.com/Overview/Working-at-Sheetz-EI_IE4015.11,17.htm",A+,73
86,Custom Ink,"{'benefits': 12, 'team': 13, 'place': 2, 'integrity': 2, 'personal': 2, 'working': 5, 'part': 2, 'hours': 2, 'career': 4, 'leadership': 5, 'positive': 2, 'committed': 2, 'core': 4, 'compensation': 2, 'flexible': 3, 'focus': 1, 'feel': 6, 'follow': 1, 'expertise': 1, 'everything': 1, 'environment': 1, 'focused': 1, 'years': 1, 'friendly': 1, 'fulfilled': 1, 'golden': 1, 'good': 4, 'great': 1, 'group': 1, 'hanging': 1, 'hard': 1, 'health': 5, 'history': 1, 'increasing': 1, 'increasingly': 1, 'goals': 1, 'development': 4, 'driven': 1, 'disorganized': 1, 'accountability': 1, 'accuracy': 1, 'achieving': 1, 'advancement': 1, 'almost': 1, 'amazing': 5, 'areas': 1, 'around': 1, 'available': 1, 'based': 1, 'behind': 1, 'best': 4, 'people': 8, 'time': 5, 'care': 5, 'community': 5, 'snacks': 4, 'fun': 4, 'free': 3, 'job': 3, 'home': 3, 'everyone': 3, 'help': 3, 'members': 3, 'values': 3, 'customers': 3, 'events': 3, 'truly': 3, 'new': 3, 'office': 3, 'life': 3, 'business': 3, 'culture': 3, 'opportunities': 3, 'lunch': 2, 'unique': 2, 'catered': 2, 'individual': 2, 'balance': 2, 'love': 2, 'lunches': 2, 'weekly': 2, 'better': 2, 'inker': 2, 'experience': 2, 'growth': 2, 'happy': 2, 'meals': 2, 'sense': 2}",87% Employees say this is a great place to work,"96% When you join the company, you are made to feel welcome.","94% Our customers would rate the service we deliver as ""excellent.""",93% People care about each other here.,92% We have special and unique benefits here.,91% I am given the resources and equipment to do my job.,3.7,3.8,3.8,3.5,3.8,3.4,"https://www.glassdoor.com/Overview/Working-at-Custom-Ink-EI_IE152733.11,21.htm",B+,75
87,Atlantic Health System,"{'issues': 2, 'together': 4, 'works': 2, 'team': 8, 'everyone': 6, 'love': 5, 'night': 2, 'really': 2, 'care': 10, 'worry': 1, 'expensive': 1, 'education': 1, 'everywhere': 1, 'good': 5, 'function': 1, 'going': 1, 'door': 1, 'great': 1, 'health': 1, 'help': 4, 'easy': 1, 'deductible': 1, 'discounts': 1, 'improvement': 1, 'coworkers': 4, 'competitive': 1, 'communication': 1, 'bunch': 1, 'boss': 1, 'better': 3, 'benefits': 8, 'autonomous': 1, 'assists': 1, 'assist': 1, 'among': 1, 'additional': 1, 'accessible': 1, 'hourly': 1, 'leadership': 3, 'instead': 1, 'lazy': 1, 'willing': 1, 'wage': 1, 'teamwork': 1, 'tasks': 1, 'take': 1, 'stop': 1, 'staff': 1, 'simply': 1, 'shift': 1, 'seasoned': 1, 'people': 10, 'feel': 7, 'ahs': 6, 'family': 6, 'patients': 5, 'working': 5, 'opportunities': 4, 'time': 4, 'community': 4, 'best': 4, 'job': 4, 'hospital': 3, 'opportunity': 3, 'life': 3, 'patient': 3, 'ice': 3, 'unique': 3, 'cream': 3, 'new': 3, 'support': 3, 'excellent': 3, 'caring': 3, 'events': 2, 'friendly': 2, 'pride': 2, 'sense': 2, 'personal': 2, 'truly': 2, 'balance': 2, 'members': 2, 'level': 2, 'medical': 2, 'grow': 2, 'growth': 2, 'provide': 2, 'know': 2, 'respect': 2, 'nice': 2, 'fun': 2}",87% Employees say this is a great place to work,92% I'm proud to tell others I work here.,92% I feel good about the ways we contribute to the community.,"92% When you join the company, you are made to feel welcome.","91% When I look at what we accomplish, I feel a sense of pride.",89% People here are given a lot of responsibility.,3.6,3.6,3.4,3,3.5,3.5,https://www.glassdoor.com/Reviews/Atlantic-Health-System-Reviews-E17694.htm,B,74
88,Methodist Le Bonheur Healthcare,"{'people': 12, 'love': 10, 'care': 11, 'direct': 2, 'feel': 8, 'many': 2, 'manager': 2, 'take': 2, 'patients': 12, 'things': 2, 'well': 2, 'getting': 1, 'good': 5, 'everything': 1, 'great': 1, 'first': 3, 'group': 1, 'heart': 1, 'family': 10, 'fair': 1, 'fact': 1, 'faces': 1, 'exciting': 1, 'fortunate': 1, 'works': 1, 'everyone': 6, 'even': 1, 'amazing': 3, 'appreciate': 1, 'area': 1, 'best': 5, 'better': 3, 'church': 1, 'comparable': 1, 'couldn': 1, 'dept': 1, 'despite': 1, 'difference': 3, 'effectiveness': 1, 'employee': 1, 'environment': 1, 'helping': 1, 'help': 6, 'less': 1, 'ignored': 1, 'systems': 1, 'raise': 1, 'recognize': 1, 'respect': 1, 'seeing': 1, 'slack': 1, 'associates': 9, 'community': 9, 'culture': 7, 'mlh': 5, 'children': 5, 'hospital': 4, 'job': 4, 'time': 4, 'team': 4, 'working': 4, 'patient': 4, 'caring': 4, 'mission': 3, 'truly': 3, 'families': 3, 'need': 3, 'teamwork': 3, 'service': 3, 'cares': 3, 'coworkers': 3, 'life': 3, 'opportunities': 3, 'benefits': 2, 'health': 2, 'provide': 2, 'serve': 2, 'system': 2, 'think': 2, 'together': 2, 'unique': 2, 'values': 2, 'different': 2, 'home': 2, 'feels': 2, 'fund': 2, 'humanitarian': 2}",85% Employees say this is a great place to work,94% I feel good about the ways we contribute to the community.,"91% When I look at what we accomplish, I feel a sense of pride.",91% I'm proud to tell others I work here.,"90% My work has special meaning: this is not ""just a job.""","90% When you join the company, you are made to feel welcome.",4.1,4.1,3.7,3.4,3.5,3.8,"https://www.glassdoor.com/Overview/Working-at-Methodist-Le-Bonheur-Healthcare-EI_IE4662.11,42.htm",A-,83
89,Four Seasons Hotels & Resorts,"{'team': 9, 'people': 15, 'everyone': 9, 'managers': 4, 'help': 5, 'good': 6, 'love': 7, 'paid': 3, 'truly': 5, 'place': 3, 'employee': 3, 'effective': 2, 'part': 2, 'higher': 2, 'family': 6, 'four': 2, 'solid': 2, 'getting': 2, 'executives': 2, 'hard': 4, 'members': 2, 'working': 5, 'made': 2, 'amazing': 5, 'great': 2, 'making': 2, 'hands': 2, 'around': 2, 'experience': 4, 'fair': 1, 'handling': 1, 'growth': 1, 'growing': 1, 'grow': 1, 'golden': 3, 'floor': 1, 'going': 1, 'group': 1, 'free': 3, 'ground': 1, 'friendly': 3, 'full': 1, 'funds': 1, 'gets': 1, 'every': 1, 'followed': 1, 'employees': 1, 'enjoys': 1, 'benchmarks': 1, 'caring': 1, 'cares': 1, 'feel': 5, 'benefits': 5, 'comp': 4, 'nights': 4, 'unique': 4, 'hotel': 3, 'best': 3, 'care': 3, 'guests': 3, 'culture': 3, 'job': 3, 'time': 3, 'think': 2, 'new': 2, 'service': 2, 'opportunity': 2, 'guest': 2, 'different': 2, 'opportunities': 2, 'property': 2, 'happy': 2, 'better': 2, 'travel': 2, 'special': 2, 'world': 2, 'able': 2, 'benefit': 2, 'rule': 2, 'coworkers': 2, 'know': 2, 'properties': 2, 'nice': 2, 'stay': 2, 'enjoy': 2, 'treat': 2}",84% Employees say this is a great place to work,"92% When you join the company, you are made to feel welcome.",91% I'm proud to tell others I work here.,"89% Our customers would rate the service we deliver as ""excellent.""","86% When I look at what we accomplish, I feel a sense of pride.",84% People celebrate special events around here.,3.9,4,3.2,3.5,3.9,3.8,https://www.glassdoor.com/Reviews/Four-Seasons-Reviews-E4202.htm,B+,77
90,Novo Nordisk Inc.,"{'industry': 3, 'willing': 3, 'honest': 2, 'many': 2, 'culture': 8, 'open': 2, 'completed': 2, 'novo': 2, 'nordisk': 2, 'fact': 2, 'people': 11, 'cause': 2, 'diabetes': 6, 'high': 2, 'working': 5, 'hear': 1, 'drama': 1, 'employee': 1, 'engaged': 1, 'every': 1, 'feedbacks': 1, 'family': 4, 'generic': 1, 'evolution': 1, 'expierence': 1, 'flexible': 3, 'fair': 1, 'filled': 1, 'getting': 1, 'years': 1, 'done': 1, 'human': 1, '75th': 1, 'achievement': 1, 'around': 1, 'assistance': 1, 'behavior': 1, 'benchmark': 1, 'benefits': 11, 'came': 1, 'career': 1, 'carrer': 1, 'catered': 1, 'changing': 1, 'communication': 1, 'community': 3, 'companies': 1, 'compensation': 1, 'competencies': 1, 'consistently': 1, 'constructive': 1, 'patients': 6, 'products': 5, 'life': 5, 'best': 4, 'balance': 4, 'feel': 4, 'nni': 4, 'good': 4, 'patient': 4, 'time': 3, '401k': 3, 'care': 3, 'line': 3, 'truly': 3, 'team': 3, 'help': 3, 'bottom': 3, 'triple': 3, 'health': 2, 'job': 2, 'focus': 2, 'home': 2, 'unique': 2, 'opportunities': 2, 'business': 2, 'love': 2, 'opportunity': 2, 'lives': 2, 'amazing': 2, 'excellent': 2, 'first': 2, 'new': 2, 'development': 2, 'everyone': 2, 'better': 2, 'support': 2, 'class': 2, 'proud': 2, 'flexibility': 2, 'vacation': 2, 'mission': 2, 'difference': 2}",89% Employees say this is a great place to work,96% I am able to take time off from work when I think it's necessary.,"95% When you join the company, you are made to feel welcome.",94% I'm proud to tell others I work here.,94% I feel good about the ways we contribute to the community.,"94% Our customers would rate the service we deliver as ""excellent.""",4,4,4,3.3,4,3.4,"https://www.glassdoor.com/Overview/Working-at-Novo-Nordisk-EI_IE3498.11,23.htm",B-,78
91,Farmers Insurance,"{'people': 27, 'good': 18, 'well': 11, 'team': 14, 'always': 11, 'need': 12, 'everyone': 12, 'make': 8, 'help': 11, 'together': 8, 'time': 13, 'works': 7, 'better': 8, 'great': 6, 'working': 10, 'comfortable': 6, 'support': 8, 'employees': 6, 'feel': 11, 'family': 11, 'fair': 5, 'understanding': 5, 'insurance': 5, 'best': 8, 'agency': 5, 'friendly': 5, 'bonus': 5, 'leadership': 7, 'helping': 5, 'customers': 5, 'professional': 5, 'provide': 5, 'less': 5, 'environment': 5, 'love': 7, 'management': 4, 'office': 6, 'much': 4, 'never': 4, 'nice': 4, 'open': 4, 'changes': 4, 'commissions': 4, 'communication': 4, 'long': 6, 'managers': 4, 'atmosphere': 4, 'hard': 4, 'paid': 3, 'close': 3, 'oriented': 3, 'benefits': 8, 'home': 6, 'life': 4, 'opportunities': 4, '401k': 4, 'community': 4, 'balance': 4, 'flexibility': 4, 'culture': 4, 'pto': 4, 'job': 4, 'inclusion': 3, 'care': 3, 'opportunity': 3, 'flexible': 3, 'inclusive': 3, 'able': 2, 'ability': 2, 'unique': 2, 'career': 2, 'know': 2, 'new': 2, 'amazing': 2, 'appreciate': 2, 'positive': 2, 'groups': 2, 'schedule': 2, 'stip': 2, 'think': 2, 'volunteer': 2, 'different': 2, 'give': 2, 'personal': 2}",81% Employees say this is a great place to work,"91% When you join the company, you are made to feel welcome.",88% People here are given a lot of responsibility.,88% I feel good about the ways we contribute to the community.,87% I am given the resources and equipment to do my job.,86% Management is honest and ethical in its business practices.,3.4,3.3,3.3,2.9,3.4,3.2,"https://www.glassdoor.com/Overview/Working-at-Farmers-Insurance-Group-EI_IE3955.11,34.htm",C+,75
92,Bank of America,"{'team': 97, 'people': 63, 'good': 60, 'employees': 56, 'great': 45, 'make': 34, 'management': 34, 'benefits': 43, 'better': 33, 'help': 32, 'leadership': 30, 'working': 29, 'care': 30, 'paid': 28, 'time': 30, 'best': 28, 'together': 25, 'always': 24, 'well': 24, 'feel': 25, 'clients': 22, 'customers': 22, 'needs': 21, 'need': 20, 'sales': 20, 'everyone': 19, 'really': 19, 'environment': 19, 'coworkers': 18, 'many': 18, 'hard': 18, 'family': 20, 'things': 17, 'compensation': 16, 'actually': 16, 'health': 18, 'goals': 16, 'less': 16, 'balance': 18, 'life': 19, 'positive': 15, 'culture': 16, 'growth': 16, 'happy': 14, 'manager': 14, 'even': 13, 'know': 13, 'bonus': 13, 'person': 13, 'done': 12, 'amazing': 14, 'opportunities': 3, 'community': 3, 'volunteer': 3, 'leave': 3, 'support': 3, 'job': 2, 'diversity': 2, 'communities': 2, 'paternity': 2, 'maternity': 2, 'personal': 2, 'career': 2, 'opportunity': 2, 'flexibility': 2, 'events': 2, 'associates': 2, 'excellent': 2, 'love': 2, 'ability': 2, 'able': 2, 'unique': 2, 'child': 2, 'commitment': 2, 'different': 2, 'home': 2, 'new': 2, 'grow': 2, 'truly': 2, 'professional': 2, 'business': 2}",85% Employees say this is a great place to work,93% I feel good about the ways we contribute to the community.,"91% When you join the company, you are made to feel welcome.",90% I am able to take time off from work when I think it's necessary.,89% I'm proud to tell others I work here.,88% People here are given a lot of responsibility.,3.7,3.6,3.6,3.1,3.8,3.5,"https://www.glassdoor.com/Overview/Working-at-Bank-of-America-EI_IE8874.11,26.htm",B,74
93,"Box, Inc.","{'great': 9, 'people': 17, 'culture': 12, 'make': 3, 'life': 5, 'care': 3, 'even': 3, 'together': 3, 'balance': 5, 'team': 7, 'want': 3, 'employees': 2, 'part': 2, 'changes': 2, 'salary': 2, 'challenging': 2, 'challenge': 2, 'good': 5, 'compensation': 2, 'environment': 2, 'smart': 4, 'place': 2, 'better': 2, 'stock': 2, 'substantial': 2, 'afraid': 2, 'believe': 2, 'office': 2, 'vision': 2, 'lunch': 2, 'everyone': 4, 'enjoy': 1, 'empathy': 1, 'ease': 1, 'espp': 1, 'fail': 1, 'excel': 1, 'experience': 1, 'diversity': 3, 'fast': 1, 'feedback': 1, 'focus': 1, 'following': 1, 'food': 3, 'framework': 1, 'free': 1, 'friendly': 1, 'generous': 1, 'genuinely': 3, 'gets': 1, 'grants': 1, 'box': 7, 'values': 4, 'amazing': 3, 'best': 3, 'fun': 3, 'feel': 2, 'leadership': 2, 'love': 2, 'time': 2, 'truly': 2, 'working': 2, 'ceo': 2, 'events': 2, 'sense': 2, 'help': 2, 'intent': 2, 'open': 2, 'product': 2, 'seen': 2, 'transparent': 2, 'benefits': 2, 'career': 2, 'celebrate': 2, 'community': 2, 'executive': 2, 'level': 2, 'think': 2, 'unique': 2, 'approachable': 2, 'boxers': 2, 'candid': 2, 'cares': 2, 'decisions': 2, 'executives': 2, 'feels': 2, 'first': 2, 'give': 2, 'ideas': 2, 'incredible': 2}",93% Employees say this is a great place to work,"98% When you join the company, you are made to feel welcome.",96% Our facilities contribute to a good working environment.,96% I'm proud to tell others I work here.,96% People care about each other here.,95% People here are given a lot of responsibility.,4,4.3,4.3,3.7,4,3.9,"https://www.glassdoor.com/Overview/Working-at-Box-EI_IE254092.11,14.htm",A+,93
94,Alliance Data,"{'best': 9, 'feel': 8, 'associates': 8, 'balance': 9, 'team': 6, 'smart': 3, 'know': 3, 'feeling': 2, 'help': 6, 'seen': 2, 'recognition': 2, 'place': 2, 'people': 12, 'open': 4, 'mind': 2, 'good': 6, 'life': 8, 'environment': 2, 'many': 2, 'staff': 2, 'everyone': 5, 'love': 5, 'workers': 2, 'great': 2, 'benefits': 7, 'valued': 2, 'success': 2, 'approachable': 2, 'vision': 2, 'celebrate': 1, 'folks': 1, 'evaluated': 1, 'believe': 1, 'even': 1, 'awesome': 1, 'executive': 1, 'expectation': 1, 'fair': 1, 'appreciation': 1, 'appreciated': 1, 'enough': 1, 'follows': 1, 'frequently': 1, 'future': 1, 'genuine': 1, 'genuinely': 1, 'give': 4, 'goals': 1, 'goes': 1, 'appreciate': 1, 'grade': 1, 'culture': 6, 'family': 5, 'care': 4, 'home': 4, 'community': 4, 'fun': 4, 'opportunities': 4, 'amazing': 3, 'flexibility': 3, 'schedule': 3, 'time': 3, 'job': 3, 'working': 3, 'truly': 3, 'flexible': 2, 'opportunity': 2, 'cares': 2, 'friendly': 2, 'growth': 2, 'pay': 2, 'free': 2, 'ability': 2, 'caring': 2, 'health': 2, 'provide': 2, 'unique': 2, 'leadership': 2, 'need': 2, 'fitness': 2, 'nice': 2, 'own': 2, 'better': 2, 'food': 2, 'positive': 2, 'able': 2, 'associate': 2}",84% Employees say this is a great place to work,94% I feel good about the ways we contribute to the community.,"93% When you join the company, you are made to feel welcome.",90% Our facilities contribute to a good working environment.,87% People celebrate special events around here.,86% Management is honest and ethical in its business practices.,3.3,3.3,3.3,2.8,3.7,3.1,"https://www.glassdoor.com/Overview/Working-at-Alliance-Data-EI_IE11421.11,24.htm",B+,80
95,FedEx Corporation,"{'people': 142, 'team': 131, 'employees': 122, 'great': 119, 'good': 121, 'benefits': 103, 'time': 87, 'fedex': 78, 'better': 79, 'together': 77, 'help': 76, 'need': 59, 'management': 58, 'always': 56, 'make': 54, 'everyone': 58, 'working': 57, 'hard': 54, 'well': 51, 'best': 53, 'workers': 48, 'done': 46, 'care': 49, 'love': 43, 'managers': 42, 'paid': 42, 'hours': 40, 'communication': 39, 'drivers': 36, 'experience': 35, 'getting': 35, 'environment': 34, 'really': 34, 'customers': 36, 'employee': 34, 'needs': 33, 'part': 32, 'coworkers': 34, 'leadership': 32, 'friendly': 33, 'health': 33, 'will': 30, 'insurance': 30, 'every': 29, 'feel': 32, 'positive': 28, 'things': 27, 'fast': 27, 'years': 26, 'happy': 26, 'place': 26, 'job': 8, 'pay': 4, 'family': 4, 'opportunity': 3, 'full': 3, 'new': 3, 'none': 2, 'career': 2, 'different': 2, 'service': 2, 'freight': 2, 'unique': 2, 'able': 2, 'location': 2, 'give': 2, 'know': 2, 'needed': 2, 'customer': 2, 'first': 2, 'jobs': 2, 'move': 2, 'opportunities': 2, 'big': 2, 'respect': 2, 'top': 2, 'easy': 2, 'express': 2, 'long': 2, 'others': 2, 'personal': 2, 'think': 2, 'works': 2}",86% Employees say this is a great place to work,"90% When you join the company, you are made to feel welcome.",89% I'm proud to tell others I work here.,88% I can be myself around here.,87% I am given the resources and equipment to do my job.,87% I am treated as a full member here regardless of my position.,3.7,3.7,3.6,3.2,3.6,3.5,"https://www.glassdoor.com/Overview/Working-at-FedEx-EI_IE246.11,16.htm",B+,75
96,Activision Blizzard,"{'good': 5, 'every': 2, 'fairly': 2, 'well': 1, 'ideas': 1, 'assess': 1, 'best': 3, 'care': 3, 'competitive': 1, 'earth': 1, 'free': 3, 'game': 3, 'games': 6, 'give': 3, 'health': 1, 'help': 1, 'listens': 1, 'time': 3, 'make': 1, 'manager': 1, 'mean': 1, 'people': 11, 'places': 1, 'planet': 1, 'play': 1, 'really': 1, 'sharing': 1, 'still': 1, 'stressful': 1, 'super': 1, 'team': 4, 'though': 1, 'around': 1, 'feel': 4, 'culture': 3, 'everyone': 3, 'working': 2, 'unique': 2, 'love': 2, 'products': 2, 'passionate': 2, 'amazing': 2, 'fun': 2, 'industry': 2, 'passion': 2, 'video': 2, 'better': 2, 'core': 2, 'life': 2, 'community': 2, 'benefits': 2, 'job': 2, 'events': 2, 'genuinely': 2, 'new': 2, 'together': 2, 'values': 2, 'hard': 2, 'teams': 2, 'feels': 2, 'product': 2, 'different': 2, 'level': 2, 'think': 2, 'entertainment': 2, 'strong': 2, 'studios': 2, 'able': 2, 'family': 2, 'proud': 2, 'quality': 2, 'truly': 2, 'diversity': 2}",77% Employees say this is a great place to work,89% People care about each other here.,"89% When you join the company, you are made to feel welcome.",88% People here are given a lot of responsibility.,88% I am able to take time off from work when I think it's necessary.,88% I'm proud to tell others I work here.,3.8,3.8,3.6,3.2,3.2,3.2,"https://www.glassdoor.com/Overview/Working-at-Activision-Blizzard-EI_IE605784.11,30.htm",B,88
97,"Delta Air Lines, Inc.","{'employees': 80, 'people': 76, 'delta': 53, 'team': 55, 'sharing': 54, 'profit': 53, 'great': 48, 'best': 47, 'family': 38, 'management': 32, 'always': 31, 'customers': 33, 'good': 33, 'care': 35, 'time': 31, 'leadership': 31, 'benefits': 35, 'need': 30, 'working': 29, 'make': 27, 'help': 29, 'together': 25, 'everyone': 26, 'better': 24, 'culture': 27, 'every': 21, 'love': 22, 'industry': 19, 'well': 19, 'environment': 19, '401k': 18, 'flight': 23, 'coworkers': 19, 'happy': 16, 'customer': 18, 'part': 14, 'right': 14, 'open': 14, 'employee': 13, 'will': 13, 'high': 13, 'union': 13, 'positive': 13, 'communication': 13, 'take': 12, 'want': 12, 'making': 12, 'compensation': 11, 'ready': 11, 'respect': 11, 'experience': 11, 'community': 3, 'feel': 3, 'job': 3, 'travel': 2, 'unique': 2, 'truly': 2, 'opportunities': 2, 'support': 2, 'caring': 2, 'world': 2, 'amazing': 2, 'leaders': 2, 'new': 2, 'flexibility': 2, 'service': 2, 'think': 2, 'cares': 2, 'proud': 2, 'able': 2, 'ability': 2, 'give': 2, 'life': 2, 'different': 2, 'know': 2, 'success': 2, 'communities': 2, 'times': 2, 'airline': 2}",87% Employees say this is a great place to work,92% I'm proud to tell others I work here.,91% I feel good about the ways we contribute to the community.,"90% When I look at what we accomplish, I feel a sense of pride.",90% I want to work here for a long time.,"90% Our customers would rate the service we deliver as ""excellent.""",4.2,4.1,3.7,3.7,4.2,4,"https://www.glassdoor.com/Overview/Working-at-Delta-Air-Lines-EI_IE197.11,26.htm",A,82
98,"Mars, Incorporated","{'management': 5, 'paid': 5, 'best': 6, 'feel': 8, 'make': 4, 'people': 14, 'employees': 3, 'along': 3, 'environment': 3, 'good': 7, 'better': 6, 'happy': 3, 'making': 3, 'everyone': 6, 'friendly': 5, 'team': 6, 'experience': 3, 'even': 2, 'extra': 2, 'goals': 2, 'maternity': 2, 'leadership': 2, 'many': 2, 'decision': 2, 'great': 2, 'liked': 2, 'leave': 2, 'flexibility': 2, 'help': 4, 'change': 2, 'stay': 2, 'bonus': 2, 'together': 2, 'appreciated': 2, 'time': 6, 'benefits': 8, 'compensation': 2, 'based': 1, 'bringing': 1, 'friends': 1, 'fulfilling': 1, 'future': 1, 'general': 1, 'generous': 1, 'care': 4, 'asks': 1, 'genuinely': 1, 'global': 1, 'approachable': 1, 'gracious': 1, 'amount': 1, 'associates': 9, 'mars': 8, 'family': 8, 'principles': 8, 'culture': 4, 'business': 4, 'pets': 4, 'opportunities': 3, 'office': 3, 'working': 3, 'bring': 3, 'five': 3, 'opportunity': 3, 'job': 3, 'new': 3, 'unique': 3, 'freedom': 3, 'associate': 3, 'love': 3, 'life': 3, 'owned': 3, 'dogs': 3, 'free': 3, 'world': 3, 'decisions': 2, 'candy': 2, 'open': 2, 'community': 2, 'home': 2, 'balance': 2, 'development': 2, 'fun': 2, 'grow': 2, 'health': 2, 'vacation': 2, 'able': 2, 'support': 2, 'truly': 2}",84% Employees say this is a great place to work,"93% When you join the company, you are made to feel welcome.",91% I am able to take time off from work when I think it's necessary.,91% I'm proud to tell others I work here.,90% I feel good about the ways we contribute to the community.,89% People here are given a lot of responsibility.,3.9,4,3.8,3.3,3.9,3.6,"https://www.glassdoor.com/Overview/Working-at-Mars-EI_IE2886.11,15.htm",A,75
